% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.17    0.763774      254591         3         1 wait4
  0.50    0.003876         117        33        14 openat
  0.40    0.003148         149        21           mmap
  0.35    0.002696        2696         1           execve
  0.15    0.001143          49        23           newfstatat
  0.09    0.000724          31        23         2 close
  0.05    0.000387         193         2           clone
  0.05    0.000365          91         4           mprotect
  0.05    0.000362          22        16           rt_sigaction
  0.04    0.000280          16        17           rt_sigprocmask
  0.03    0.000221          36         6           read
  0.03    0.000205         205         1           munmap
  0.02    0.000194          64         3           brk
  0.01    0.000110         110         1           getgid
  0.01    0.000089          89         1         1 faccessat
  0.01    0.000062          62         1           set_tid_address
  0.01    0.000062          20         3           prlimit64
  0.01    0.000059          59         1           getrandom
  0.01    0.000054          54         1           sysinfo
  0.01    0.000045          15         3         1 ioctl
  0.01    0.000044          44         1           getuid
  0.00    0.000037          37         1           rt_sigreturn
  0.00    0.000035          35         1           geteuid
  0.00    0.000033          33         1           futex
  0.00    0.000026          26         1           getegid
  0.00    0.000017          17         1           set_robust_list
  0.00    0.000000           0         1           dup3
  0.00    0.000000           0         4         1 fcntl
  0.00    0.000000           0         1           pipe2
  0.00    0.000000           0         4           lseek
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           getppid
------ ----------- ----------- --------- --------- ----------------
100.00    0.778048        4138       188        20 total
