% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.83   13.460107     1035392        13         3 wait4
  0.03    0.004577         138        33        14 openat
  0.02    0.003163        3163         1           execve
  0.02    0.003088          96        32         4 newfstatat
  0.02    0.002278         108        21           mmap
  0.02    0.002230          38        58           rt_sigprocmask
  0.01    0.001339          51        26           rt_sigaction
  0.01    0.000981          81        12           read
  0.01    0.000903          47        19           close
  0.01    0.000760         108         7           clone
  0.00    0.000571          57        10           write
  0.00    0.000482         160         3         1 faccessat
  0.00    0.000405         101         4           mprotect
  0.00    0.000262          32         8         1 ioctl
  0.00    0.000257          42         6           rt_sigreturn
  0.00    0.000246          82         3           prlimit64
  0.00    0.000200         200         1           munmap
  0.00    0.000197          65         3           brk
  0.00    0.000182          60         3           geteuid
  0.00    0.000159          15        10           lseek
  0.00    0.000102          34         3           getgid
  0.00    0.000098          32         3           getegid
  0.00    0.000097          32         3           getuid
  0.00    0.000094          94         1           kill
  0.00    0.000076          25         3         1 fcntl
  0.00    0.000062          62         1           dup3
  0.00    0.000058          58         1           uname
  0.00    0.000052          52         1           getrandom
  0.00    0.000045          45         1           sysinfo
  0.00    0.000028          28         1           futex
  0.00    0.000027           9         3           getpid
  0.00    0.000027           9         3           getppid
  0.00    0.000024          24         1           set_tid_address
  0.00    0.000020          20         1           set_robust_list
  0.00    0.000000           0         1           getpgid
------ ----------- ----------- --------- --------- ----------------
100.00   13.483197       44943       300        24 total
