% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.44    7.391264      230977        32        16 wait4
  0.16    0.011827         739        16           clone
  0.08    0.006033          51       117           rt_sigprocmask
  0.06    0.004328         131        33        14 openat
  0.04    0.003003          65        46           rt_sigaction
  0.04    0.002941        2941         1           execve
  0.04    0.002755         131        21           mmap
  0.03    0.002450         122        20           read
  0.03    0.002070          66        31           newfstatat
  0.02    0.001416          78        18         1 ioctl
  0.02    0.001225          76        16           rt_sigreturn
  0.01    0.000901          47        19           close
  0.01    0.000674          37        18           lseek
  0.01    0.000545         136         4           mprotect
  0.01    0.000384          76         5         1 faccessat
  0.00    0.000193          64         3           getpid
  0.00    0.000186         186         1           munmap
  0.00    0.000177          59         3           brk
  0.00    0.000166          55         3           prlimit64
  0.00    0.000104          20         5           geteuid
  0.00    0.000090          18         5           getuid
  0.00    0.000086          17         5           getegid
  0.00    0.000082          16         5           getgid
  0.00    0.000059          59         1           uname
  0.00    0.000057          57         1           sysinfo
  0.00    0.000054          18         3           getppid
  0.00    0.000049          49         1           getrandom
  0.00    0.000035          35         1           set_robust_list
  0.00    0.000035          35         1           getpgid
  0.00    0.000032          32         1           set_tid_address
  0.00    0.000000           0         1           dup3
  0.00    0.000000           0         3         1 fcntl
  0.00    0.000000           0         1           futex
------ ----------- ----------- --------- --------- ----------------
100.00    7.433221       16855       441        33 total
