% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.76    5.877871      419847        14         7 wait4
  0.07    0.004157         593         7           clone
  0.05    0.002758        2758         1           execve
  0.03    0.001640          30        54           rt_sigprocmask
  0.02    0.001196          56        21           mmap
  0.02    0.000925          28        33        14 openat
  0.01    0.000784          28        28           rt_sigaction
  0.01    0.000483          26        18           write
  0.01    0.000476         119         4           mprotect
  0.01    0.000340          48         7           rt_sigreturn
  0.01    0.000298          33         9         1 ioctl
  0.00    0.000255          10        24           newfstatat
  0.00    0.000242          22        11           read
  0.00    0.000197         197         1           munmap
  0.00    0.000160           8        19           close
  0.00    0.000119          39         3           brk
  0.00    0.000071          71         1         1 faccessat
  0.00    0.000050          50         1           set_tid_address
  0.00    0.000045          15         3           prlimit64
  0.00    0.000043          43         1           getrandom
  0.00    0.000038          38         1           set_robust_list
  0.00    0.000035           3         9           lseek
  0.00    0.000000           0         1           dup3
  0.00    0.000000           0         3         1 fcntl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           sysinfo
------ ----------- ----------- --------- --------- ----------------
100.00    5.892183       20458       288        24 total
