% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.99  566.574476     9442907        60        30 wait4
  0.00    0.021049         701        30           clone
  0.00    0.010294          47       215           rt_sigprocmask
  0.00    0.003913          52        74           rt_sigaction
  0.00    0.003514         103        34           read
  0.00    0.003504         106        33        14 openat
  0.00    0.003280        3280         1           execve
  0.00    0.002475          82        30           rt_sigreturn
  0.00    0.002148          67        32           newfstatat
  0.00    0.002086          65        32         1 ioctl
  0.00    0.001742          82        21           mmap
  0.00    0.001436          44        32           lseek
  0.00    0.000728         145         5         1 faccessat
  0.00    0.000548          28        19           close
  0.00    0.000482         120         4           mprotect
  0.00    0.000285         285         1           munmap
  0.00    0.000210         210         1           sysinfo
  0.00    0.000169         169         1           write
  0.00    0.000124          41         3           getpid
  0.00    0.000102          34         3           prlimit64
  0.00    0.000096          32         3         1 fcntl
  0.00    0.000087          17         5           getuid
  0.00    0.000080          80         1           dup3
  0.00    0.000078          78         1           futex
  0.00    0.000062          12         5           geteuid
  0.00    0.000059          11         5           getgid
  0.00    0.000056          56         1           uname
  0.00    0.000056          11         5           getegid
  0.00    0.000039          13         3           brk
  0.00    0.000032          10         3           getppid
  0.00    0.000028          28         1           set_robust_list
  0.00    0.000022          22         1           set_tid_address
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00  566.633260      849525       667        47 total
