% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 89.45    0.187305       10405        18         9 wait4
  2.56    0.005353         594         9           clone
  1.41    0.002948          43        68           rt_sigprocmask
  1.34    0.002810        2810         1           execve
  1.16    0.002424          73        33        14 openat
  0.79    0.001656          78        21           mmap
  0.78    0.001624          70        23           newfstatat
  0.57    0.001197          37        32           rt_sigaction
  0.49    0.001033          79        13           read
  0.28    0.000589          65         9           rt_sigreturn
  0.27    0.000568          51        11         1 ioctl
  0.24    0.000499          26        19           close
  0.19    0.000402         100         4           mprotect
  0.16    0.000338          30        11           lseek
  0.05    0.000104          34         3           getppid
  0.05    0.000103          34         3           prlimit64
  0.04    0.000090          30         3           getpid
  0.03    0.000063          21         3         1 fcntl
  0.02    0.000045          45         1           uname
  0.02    0.000043          43         1           dup3
  0.02    0.000037          12         3           brk
  0.01    0.000030          30         1           getpgid
  0.01    0.000027          27         1           futex
  0.01    0.000024          24         1           sysinfo
  0.01    0.000021          21         1           getuid
  0.01    0.000016          16         1           set_robust_list
  0.01    0.000014          14         1           set_tid_address
  0.01    0.000014          14         1           getgid
  0.01    0.000013          13         1           geteuid
  0.01    0.000012          12         1           getegid
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.209402         695       301        26 total
