% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.17    2.612362      217696        12         1 wait4
  0.18    0.004839         124        39        20 openat
  0.12    0.003284        3284         1           execve
  0.09    0.002434         405         6           clone
  0.08    0.002225          89        25           newfstatat
  0.06    0.001694         154        11           write
  0.06    0.001661          79        21           mmap
  0.06    0.001593          28        55           rt_sigprocmask
  0.03    0.000838          44        19           close
  0.02    0.000526          21        24           rt_sigaction
  0.02    0.000477          43        11           read
  0.01    0.000316          52         6           rt_sigreturn
  0.01    0.000295          36         8         1 ioctl
  0.01    0.000244          61         4           brk
  0.01    0.000198          22         9           lseek
  0.01    0.000196          49         4           mprotect
  0.01    0.000191         191         1           munmap
  0.00    0.000101          33         3           prlimit64
  0.00    0.000097          32         3           getppid
  0.00    0.000070          23         3         1 fcntl
  0.00    0.000066          22         3           getpid
  0.00    0.000064          64         1           kill
  0.00    0.000052          52         1           sysinfo
  0.00    0.000045          45         1           dup3
  0.00    0.000041          41         1           getpgid
  0.00    0.000036          36         1           getegid
  0.00    0.000032          32         1           futex
  0.00    0.000032          32         1           set_robust_list
  0.00    0.000031          31         1           getuid
  0.00    0.000031          31         1           getgid
  0.00    0.000028          28         1           set_tid_address
  0.00    0.000027          27         1           geteuid
  0.00    0.000026          26         1           getrandom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           uname
------ ----------- ----------- --------- --------- ----------------
100.00    2.634152        9340       282        24 total
