% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.95  265.372247     1951266       136        27 wait4
  0.03    0.071152         652       109           clone
  0.01    0.022605          45       494           rt_sigprocmask
  0.00    0.012811          36       347       164 close
  0.00    0.011549         140        82           pipe2
  0.00    0.003870        3870         1           execve
  0.00    0.002699          39        68           rt_sigaction
  0.00    0.002509          80        31           read
  0.00    0.002230          67        33        14 openat
  0.00    0.001727          82        21           mmap
  0.00    0.001452          53        27           rt_sigreturn
  0.00    0.001438          49        29         1 ioctl
  0.00    0.000987          42        23           newfstatat
  0.00    0.000912          31        29           lseek
  0.00    0.000896          29        30         1 fcntl
  0.00    0.000566         141         4           mprotect
  0.00    0.000170         170         1           munmap
  0.00    0.000039          13         3           prlimit64
  0.00    0.000034          11         3           brk
  0.00    0.000029          29         1           set_tid_address
  0.00    0.000025          25         1           set_robust_list
  0.00    0.000023          23         1           getegid
  0.00    0.000021          21         1           uname
  0.00    0.000016          16         1           getuid
  0.00    0.000014          14         1           getgid
  0.00    0.000013          13         1           geteuid
  0.00    0.000000           0         1           dup3
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00  265.510034      178194      1490       208 total
